iter	Passed	Remaining
914	4107	381
915	4111	377
916	4116	372
917	4120	368
918	4125	363
919	4129	359
920	4133	354
921	4137	350
922	4141	345
923	4145	340
924	4149	336
925	4153	331
926	4157	327
927	4161	322
928	4166	318
929	4171	314
930	4176	309
931	4181	305
932	4186	300
933	4190	296
934	4195	291
935	4199	287
936	4203	282
937	4208	278
938	4212	273
939	4216	269
940	4219	264
941	4223	260
942	4227	255
943	4231	251
944	4235	246
945	4239	241
946	4243	237
947	4247	232
948	4250	228
949	4254	223
950	4258	219
951	4262	214
952	4266	210
953	4270	205
954	4274	201
955	4278	196
956	4282	192
957	4286	187
958	4290	183
959	4295	178
960	4298	174
961	4302	169
962	4306	165
963	4310	160
964	4314	156
965	4318	151
966	4321	147
967	4325	142
968	4329	138
969	4333	134
970	4337	129
971	4341	125
972	4345	120
973	4349	116
974	4353	111
975	4356	107
976	4361	102
977	4364	98
978	4368	93
979	4372	89
980	4376	84
981	4380	80
982	4384	75
983	4388	71
984	4392	66
985	4395	62
986	4400	57
987	4404	53
988	4408	49
989	4412	44
990	4415	40
991	4420	35
992	4423	31
993	4427	26
994	4432	22
995	4435	17
996	4439	13
997	4443	8
998	4447	4
999	4451	0
